Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
KCK;Louie Nelson;26;9;2.9;11.1;1.7;1;
POR;Jacky Dorsey;23;56;10.2;8.1;0;1.1;
DET;Jim Bostic;25;6;17.5;9.7;0;0;
PHI;Wilson Washington;22;2;18.7;3.7;1.2;2.7;
BUF;Larry Johnson;23;81;7.1;23.5;6.1;2.7;
DEN;Jacky Dorsey;23;37;27.7;6.6;2.4;2.7;
HOU;Ron Behagen;27;27;11.2;8.9;0;0;
SAS;George Karl;26;17;8.7;18.7;1.5;0;
BOS;Zaid Abdul-Aziz;31;57;31.8;16.5;1.9;2.1;
PHI;Glenn Mosley;22;74;12.1;14.1;0;0;
HOU;Phil Bond;23;37;10.1;11.9;2.3;0;
PHI;Mike Dunleavy;23;23;3;47.8;2.6;0;
BOS;Bob Bigelow;24;91;12;0;0;0;
DET;Wayman Britt;25;97;13.1;17.7;2.8;0;
NYK;Ticky Burden;24;13;0;7.5;2.9;0;
BOS;Steve Kuberski;30;97;21.8;0;3.2;0;
HOU;John Johnson;30;61;14.5;11.3;0;0;
SEA;Willie Wise;30;79;15.3;0;0;0;
DEN;Norm Cook;22;58;15.4;12.6;0;0;
KCK;Andre McCarter;24;85;5.7;0;0;0;
KCK;Glenn Hansen;25;80;5.7;12.2;4.9;0;
BOS;Jim Ard;29;84;22.6;12.6;0;0;
SEA;Dean Tolson;26;39;0;32.8;0;0;
KCK;Bob Bigelow;24;99;36.5;0;0;0;
IND;Willie Smith;24;22;0;16.2;0;0;
CHI;Glenn Hansen;25;59;0;0;0;0;
HOU;Moses Malone;23;43;23.2;5.9;1.1;1.8;
CHI;Artis Gilmore;29;49;17.5;12.9;0.7;2.6;
DET;M.L. Carr;28;19;9.5;10.8;2.8;0.7;
LAL;Kareem Abdul-Jabbar;31;70;17.6;18.9;1.1;5;
LAL;Norm Nixon;23;31;4;30.5;2.9;0.3;
SDC;Randy Smith;30;1;5;17.6;2.6;0.1;
WSB;Elvin Hayes;33;29;16.2;6.3;1.1;3;
GSW;John Lucas;25;9;4.3;33;2.3;0.2;
DET;Kevin Porter;28;74;3.5;47;2.3;0.1;
IND;Johnny Davis;23;57;3.3;21.3;1.5;0.4;
BOS;Cedric Maxwell;23;50;14.8;10.4;1.5;1.3;
SEA;Jack Sikma;23;70;18;12.2;1.3;1.2;
SDC;World B. Free;25;97;5.4;17.1;1.7;0.6;
SAS;Larry Kenon;26;69;14.1;15.4;2.3;0.3;
HOU;Calvin Murphy;30;3;3.2;17;1.8;0.1;
LAL;Jamaal Wilkes;25;42;11.4;10.3;2.1;0.5;
GSW;Sonny Parker;23;49;8.2;13.6;2.3;0.6;
SAS;George Gervin;26;100;7.3;11.5;2.1;1.6;
NJN;Bernard King;22;35;12.3;16.4;1.8;0.7;
CLE;Campy Russell;27;54;9.6;17.6;1.6;0.5;
CLE;Jim Chones;29;38;16.2;8.6;0.8;2;
KCK;Otis Birdsong;23;10;6.8;14.4;2;0.3;
IND;Ricky Sobers;26;59;5.5;22.4;2.2;0.4;
PHI;Julius Erving;28;85;10.5;19.6;2.1;1.9;
POR;Tom Owens;29;76;14.7;15.9;1;1.2;
MIL;Marques Johnson;22;81;11.7;12.3;1.9;1.7;
SDC;Kermit Washington;27;21;15.4;5.5;1.4;2.2;
CHI;Reggie Theus;21;49;4.5;22.8;1.6;0.3;
DEN;Dan Issel;30;43;14;13.3;1;0.9;
KCK;Phil Ford;22;3;3.6;32.2;2.9;0.1;
SEA;Dennis Johnson;24;53;7.2;14.5;1.7;1.9;
CLE;Austin Carr;30;59;5.8;11.4;1.3;0.3;
NOJ;Rich Kelley;25;92;18.5;14.4;2.1;3;
NOJ;Jim McElroy;25;96;3.9;24.2;2.4;0.9;
IND;Alex English;25;91;12.5;14.4;1.2;1.5;
DEN;David Thompson;24;60;5.4;13.3;1.2;1.6;
NYK;Toby Knight;23;11;11.1;6.6;1;1.2;
SDC;Nick Weatherspoon;28;88;9.1;6.7;1.4;0.7;
HOU;Rudy Tomjanovich;30;73;11.8;7.3;0.8;0.4;
PHO;Paul Westphal;28;69;3.3;29.9;1.9;0.5;
WSB;Bob Dandridge;31;58;8.6;19.1;1.2;1.1;
BOS;Chris Ford;30;26;5.4;20.2;2;0.5;
KCK;Sam Lacey;30;12;14.5;20.1;1.8;3;
DEN;Charlie Scott;30;57;4.2;22;1.4;0.6;
CHI;Mickey Johnson;26;87;13.2;21.3;1.6;1.2;
MIL;Brian Winters;26;34;3.8;20.5;1.5;0.8;
HOU;Rick Barry;34;51;5.9;25.7;1.7;0.8;
DET;Terry Tyler;22;20;13.2;4.6;1.8;4.1;
DEN;George McGinnis;28;30;17.7;16.9;2.3;1.1;
IND;James Edwards;23;27;14;5.2;1.1;2.2;
PHO;Don Buse;28;63;4.7;16.3;2.7;0.4;
ATL;Dan Roundfield;25;17;18.4;7.4;1.6;4;
PHI;Henry Bibby;29;34;5;19.2;1.3;0.1;
IND;Mike Bantom;27;84;13.2;12.3;1.8;1.3;
ATL;Armond Hill;25;99;3.5;24.8;1.9;0.4;
BOS;Dave Cowens;30;32;14.4;13.7;1.4;1.1;
DET;John Long;22;15;5.5;6.9;1.8;0.4;
KCK;Scott Wedman;26;64;8.4;8;1.4;0.7;
CHI;Wilbur Holland;27;92;5.6;19;2.3;0.3;
POR;Maurice Lucas;26;91;16.2;13.1;1.2;1.8;
POR;Ron Brewer;23;46;5.2;9.4;1.9;1.8;
NJN;John Williamson;27;29;4.2;16.8;1.6;0.3;
PHO;Walter Davis;24;38;8.5;21.1;2.7;0.6;
DEN;Bob Wilkerson;24;90;8.9;16.1;2.2;0.4;
ATL;Eddie Johnson;23;46;3.8;22.1;2.3;0.3;
GSW;Robert Parish;25;50;20.4;6.9;1.9;4.9;
ATL;John Drew;24;89;11.7;8.1;2.5;0.4;
PHI;Maurice Cheeks;22;81;5.5;22.8;3.2;0.3;
WSB;Wes Unseld;32;100;17.5;15.9;1.3;0.8;
